"Name","BankName","EventName"
"Archer deploy","soundbanks/card_common_archer.bank","event:/Main/Card/Common/card_common_archer/card_common_archer_deploy"
"Archer steps","soundbanks/card_common_archer.bank","event:/Main/Card/Common/card_common_archer/card_common_archer_steps"
"Archer attack","soundbanks/card_common_archer.bank","event:/Main/Card/Common/card_common_archer/card_common_archer_attack"
"Arrow hit","soundbanks/card_common_archer.bank","event:/Main/Card/Common/card_common_archer/card_common_archer_arrow_hit"
"Archer attack start","soundbanks/card_common_archer.bank","event:/Main/Card/Common/card_common_archer/card_common_archer_attack_start"
"Archer die","soundbanks/card_common_archer.bank","event:/Main/Card/Common/card_common_archer/card_common_archer_die"
"Magic_archer_attack","soundbanks/card_legendary_magic_archer.bank","event:/Main/Card/Legendary/card_legendary_magic_archer/card_legendary_magic_archer_attack"
"Get diamonds","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_get_diamonds"
"get mana","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_get_mana"
"ArcherTower attack","soundbanks/card_tower_archertower.bank","event:/Main/Card/Tower/card_tower_archertower/card_tower_archertower_attack"
"Scroll open","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_scroll_open"
"Scroll close","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_scroll_close"
"Chest unlockstart","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_chest_unlockstart"
"Claim chest","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_claim_chest"
"No workers","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_no_workers"
"WizardProjectileHit","soundbanks/card_rare_wizard.bank","event:/Main/Card/Rare/card_rare_wizard/card_rare_wizard_projectile_hit"
"Spell fuse","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_spell_fuse"
"Enemy on range","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_enemy_on_range"
"Unlock with diamonds","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_unlock_with_diamonds"
"SellChest","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_sellchest"
"Cannon Fire","soundbanks/card_common_cannon.bank","event:/Main/Card/Common/card_common_cannon/card_common_cannon_fire"
"Cannon Deploy","soundbanks/card_common_cannon.bank","event:/Main/Card/Common/card_common_cannon/card_common_cannon_deploy"
"sound_evo_knight_deploy","soundbanks/card_evolution_knight.bank","event:/Main/Card/Evolution/card_evolution_knight/card_evolution_knight_deploy"
"sound_knight_deploy","soundbanks/card_common_knight.bank","event:/Main/Card/Common/card_common_knight/card_common_knight_deploy"
"sound_knight_deploy_end","soundbanks/card_common_knight.bank","event:/Main/Card/Common/card_common_knight/card_common_knight_deploy_end"
"sound_knight_steps","soundbanks/card_common_knight.bank","event:/Main/Card/Common/card_common_knight/card_common_knight_steps"
"sound_knight_attack_start","soundbanks/card_common_knight.bank","event:/Main/Card/Common/card_common_knight/card_common_knight_attack_start"
"sound_knight_hit","soundbanks/card_common_knight.bank","event:/Main/Card/Common/card_common_knight/card_common_knight_hit"
"sound_knight_die","soundbanks/card_common_knight.bank","event:/Main/Card/Common/card_common_knight/card_common_knight_die"
"sound_barbarian_deploy","soundbanks/card_common_barbarian.bank","event:/Main/Card/Common/card_common_barbarian/card_common_barbarian_deploy"
"sound_barbarian_evo_deploy","soundbanks/card_evolution_barbarian.bank","event:/Main/Card/Evolution/card_evolution_barbarian/card_evolution_barbarian_deploy"
"sound_barbarian_steps","soundbanks/card_common_barbarian.bank","event:/Main/Card/Common/card_common_barbarian/card_common_barbarian_steps"
"sound_barbarian_attack_start","soundbanks/card_common_barbarian.bank","event:/Main/Card/Common/card_common_barbarian/card_common_barbarian_attack_start"
"sound_angry_barbarian_attack_start","soundbanks/card_common_angry_barbarian.bank","event:/Main/Card/Common/card_common_angry_barbarian/card_common_angry_barbarian_attack_start"
"sound_angry_barbarian_steps","soundbanks/card_common_angry_barbarian.bank","event:/Main/Card/Common/card_common_angry_barbarian/card_common_angry_barbarian_steps"
"sound_barbarian_hit","soundbanks/card_common_barbarian.bank","event:/Main/Card/Common/card_common_barbarian/card_common_barbarian_hit"
"sound_barbarian_die","soundbanks/card_common_barbarian.bank","event:/Main/Card/Common/card_common_barbarian/card_common_barbarian_die"
"sound_ragebarbarian_deploy","soundbanks/card_legendary_ragebarbarian.bank","event:/Main/Card/Legendary/card_legendary_ragebarbarian/card_legendary_ragebarbarian_deploy"
"sound_ragebarbarian_deploy_sfx","soundbanks/card_legendary_ragebarbarian.bank","event:/Main/Card/Legendary/card_legendary_ragebarbarian/card_legendary_ragebarbarian_deploy_sfx"
"sound_ragebarbarian_attack_start_vo","soundbanks/card_legendary_ragebarbarian.bank","event:/Main/Card/Legendary/card_legendary_ragebarbarian/card_legendary_ragebarbarian_attack_start_vo"
"sound_ragebarbarian_attack_start","soundbanks/card_legendary_ragebarbarian.bank","event:/Main/Card/Legendary/card_legendary_ragebarbarian/card_legendary_ragebarbarian_attack_start"
"sound_ragebarbarian_attack_hit","soundbanks/card_legendary_ragebarbarian.bank","event:/Main/Card/Legendary/card_legendary_ragebarbarian/card_legendary_ragebarbarian_attack_hit"
"sound_ragebarbarian_steps","soundbanks/card_legendary_ragebarbarian.bank","event:/Main/Card/Legendary/card_legendary_ragebarbarian/card_legendary_ragebarbarian_steps"
"sound_executioner_deploy","soundbanks/card_epic_axeman.bank","event:/Main/Card/Epic/card_epic_axeman/card_epic_axeman_deploy"
"sound_executioner_steps","soundbanks/card_epic_axeman.bank","event:/Main/Card/Epic/card_epic_axeman/card_epic_axeman_steps"
"sound_executioner_attack","soundbanks/card_epic_axeman.bank","event:/Main/Card/Epic/card_epic_axeman/card_epic_axeman_attack"
"sound_goblins_deploy","soundbanks/card_common_goblins.bank","event:/Main/Card/Common/card_common_goblins/card_common_goblins_deploy"
"sound_goblins_steps","soundbanks/card_common_goblins.bank","event:/Main/Card/Common/card_common_goblins/card_common_goblins_steps"
"sound_goblins_attack_start","soundbanks/card_common_goblins.bank","event:/Main/Card/Common/card_common_goblins/card_common_goblins_attack_start"
"sound_goblins_hit","soundbanks/card_common_goblins.bank","event:/Main/Card/Common/card_common_goblins/card_common_goblins_hit"
"sound_goblins_die","soundbanks/card_common_goblins.bank","event:/Main/Card/Common/card_common_goblins/card_common_goblins_die"
"sound_giant_deploy","soundbanks/card_rare_giant.bank","event:/Main/Card/Rare/card_rare_giant/card_rare_giant_deploy"
"sound_giant_deploy_vo","soundbanks/card_rare_giant.bank","event:/Main/Card/Rare/card_rare_giant/card_rare_giant_deploy_vo"
"sound_giant_steps","soundbanks/card_rare_giant.bank","event:/Main/Card/Rare/card_rare_giant/card_rare_giant_steps"
"sound_giant_attack_start","soundbanks/card_rare_giant.bank","event:/Main/Card/Rare/card_rare_giant/card_rare_giant_attack_start"
"sound_giant_hit","soundbanks/card_rare_giant.bank","event:/Main/Card/Rare/card_rare_giant/card_rare_giant_hit"
"sound_giant_die","soundbanks/card_rare_giant.bank","event:/Main/Card/Rare/card_rare_giant/card_rare_giant_die"
"sound_pekka_deploy","soundbanks/card_epic_pekka.bank","event:/Main/Card/Epic/card_epic_pekka/card_epic_pekka_deploy"
"sound_pekka_deploy_end","soundbanks/card_epic_pekka.bank","event:/Main/Card/Epic/card_epic_pekka/card_epic_pekka_deploy_end"
"sound_pekka_steps","soundbanks/card_epic_pekka.bank","event:/Main/Card/Epic/card_epic_pekka/card_epic_pekka_steps"
"sound_pekka_attack_start","soundbanks/card_epic_pekka.bank","event:/Main/Card/Epic/card_epic_pekka/card_epic_pekka_attack_start"
"sound_pekka_hit","soundbanks/card_epic_pekka.bank","event:/Main/Card/Epic/card_epic_pekka/card_epic_pekka_hit"
"sound_pekka_die","soundbanks/card_epic_pekka.bank","event:/Main/Card/Epic/card_epic_pekka/card_epic_pekka_die"
"sound_minion_deploy","soundbanks/card_common_minion.bank","event:/Main/Card/Common/card_common_minion/card_common_minion_deploy"
"sound_minion_steps","soundbanks/card_common_minion.bank","event:/Main/Card/Common/card_common_minion/card_common_minion_steps"
"sound_minion_attack_start","soundbanks/card_common_minion.bank","event:/Main/Card/Common/card_common_minion/card_common_minion_attack_start"
"sound_minion_attack","soundbanks/card_common_minion.bank","event:/Main/Card/Common/card_common_minion/card_common_minion_attack"
"sound_minion_die","soundbanks/card_common_minion.bank","event:/Main/Card/Common/card_common_minion/card_common_minion_die"
"Gameend Horn","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_gameend_horn"
"sound_mortar_attack","soundbanks/card_common_mortar.bank","event:/Main/Card/Common/card_common_mortar/card_common_mortar_attack"
"sound_mortar_hit","soundbanks/card_common_mortar.bank","event:/Main/Card/Common/card_common_mortar/card_common_mortar_hit"
"sound_mortar_die","soundbanks/card_common_mortar.bank","event:/Main/Card/Common/card_common_mortar/card_common_mortar_die"
"sound_mortar_deploy","soundbanks/card_common_mortar.bank","event:/Main/Card/Common/card_common_mortar/card_common_mortar_deploy"
"sound_mortar_evo_deploy","soundbanks/card_evolution_mortar.bank","event:/Main/Card/Evolution/card_evolution_mortar/card_evolution_mortar_deploy"
"sound_balloon_deploy","soundbanks/card_epic_balloon.bank","event:/Main/Card/Epic/card_epic_balloon/card_epic_balloon_deploy"
"sound_balloon_steps","soundbanks/card_epic_balloon.bank","event:/Main/Card/Epic/card_epic_balloon/card_epic_balloon_steps"
"sound_balloon_attack_start","soundbanks/card_epic_balloon.bank","event:/Main/Card/Epic/card_epic_balloon/card_epic_balloon_attack_start"
"sound_balloon_hit","soundbanks/card_epic_balloon.bank","event:/Main/Card/Epic/card_epic_balloon/card_epic_balloon_hit"
"sound_balloon_die","soundbanks/card_epic_balloon.bank","event:/Main/Card/Epic/card_epic_balloon/card_epic_balloon_die"
"sound_goblin_hut_deploy","soundbanks/card_rare_goblin_hut.bank","event:/Main/Card/Rare/card_rare_goblin_hut/card_rare_goblin_hut_deploy"
"sound_goblin_hut_die","soundbanks/card_rare_goblin_hut.bank","event:/Main/Card/Rare/card_rare_goblin_hut/card_rare_goblin_hut_die"
"sound_elixircollector_die","soundbanks/card_rare_elixir_collector.bank","event:/Main/Card/Rare/card_rare_elixir_collector/card_rare_elixir_collector_die"
"sound_elixircollector_deploy","soundbanks/card_rare_elixir_collector.bank","event:/Main/Card/Rare/card_rare_elixir_collector/card_rare_elixir_collector_deploy"
"sound_elixircollector_get","soundbanks/card_rare_elixir_collector.bank","event:/Main/Card/Rare/card_rare_elixir_collector/card_rare_elixir_collector_get"
"sound_witch_deploy","soundbanks/card_epic_witch.bank","event:/Main/Card/Epic/card_epic_witch/card_epic_witch_deploy"
"sound_witch_steps","soundbanks/card_epic_witch.bank","event:/Main/Card/Epic/card_epic_witch/card_epic_witch_steps"
"sound_witch_attack_start","soundbanks/card_epic_witch.bank","event:/Main/Card/Epic/card_epic_witch/card_epic_witch_start"
"sound_witch_hit","soundbanks/card_epic_witch.bank","event:/Main/Card/Epic/card_epic_witch/card_epic_witch_hit"
"sound_witch_die","soundbanks/card_epic_witch.bank","event:/Main/Card/Epic/card_epic_witch/card_epic_witch_die"
"sound_witch_deploy_skeleton","soundbanks/card_epic_witch.bank","event:/Main/Card/Epic/card_epic_witch/card_epic_witch_deploy_skeleton"
"sound_skeleton_deploy","soundbanks/card_common_skeleton.bank","event:/Main/Card/Common/card_common_skeleton/card_common_skeleton_deploy"
"sound_skeleton_evo_deploy","soundbanks/card_evolution_skeleton.bank","event:/Main/Card/Evolution/card_evolution_skeleton/card_evolution_skeleton_deploy"
"sound_skeleton_steps","soundbanks/card_common_skeleton.bank","event:/Main/Card/Common/card_common_skeleton/card_common_skeleton_steps"
"sound_skeleton_attack_start","soundbanks/card_common_skeleton.bank","event:/Main/Card/Common/card_common_skeleton/card_common_skeleton_attack_start"
"sound_skeleton_hit","soundbanks/card_common_skeleton.bank","event:/Main/Card/Common/card_common_skeleton/card_common_skeleton_hit"
"sound_skeleton_die","soundbanks/card_common_skeleton.bank","event:/Main/Card/Common/card_common_skeleton/card_common_skeleton_die"
"sound_golem_deploy","soundbanks/card_epic_golem.bank","event:/Main/Card/Epic/card_epic_golem/card_epic_golem_deploy"
"sound_golem_deploy_end","soundbanks/card_epic_golem.bank","event:/Main/Card/Epic/card_epic_golem/card_epic_golem_deploy_end"
"sound_small_golem_deploy","soundbanks/card_epic_golem.bank","event:/Main/Card/Epic/card_epic_golem/card_epic_golem_small_deploy"
"sound_golem_steps","soundbanks/card_epic_golem.bank","event:/Main/Card/Epic/card_epic_golem/card_epic_golem_steps"
"sound_golem_attack_start","soundbanks/card_epic_golem.bank","event:/Main/Card/Epic/card_epic_golem/card_epic_golem_attack_start"
"sound_small_golem_attack_start","soundbanks/card_epic_golem.bank","event:/Main/Card/Epic/card_epic_golem/card_epic_golem_smallgolem_attack_start"
"sound_golem_hit","soundbanks/card_epic_golem.bank","event:/Main/Card/Epic/card_epic_golem/card_epic_golem_hit"
"sound_small_golem_hit","soundbanks/card_epic_golem.bank","event:/Main/Card/Epic/card_epic_golem/card_epic_golem_smallgolem_hit"
"sound_golem_die","soundbanks/card_epic_golem.bank","event:/Main/Card/Epic/card_epic_golem/card_epic_golem_die"
"sound_small_golem_die","soundbanks/card_epic_golem.bank","event:/Main/Card/Epic/card_epic_golem/card_epic_golem_smallgolem_die"
"sound_get_star_player","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_get_star_player"
"sound_get_star_enemy","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_get_star_enemy"
"sound_generic_death","soundbanks/uncategorized.bank","event:/Main/Uncategorized/sound_generic_death"
"deploy timer tick","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_deploy_timer_tick"
"deploy timer ding","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_deploy_timer_ding"
"enemy deploy timer tick","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_enemy_deploy_timer_tick"
"enemy deploy timer ding","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_enemy_deploy_timer_ding"
"match start","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_match_start"
"Goblin_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_goblin_arena_start"
"Goblin_arena_start_v2","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_goblin_arena_start_v2"
"Retro_Arena_Start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_retro_arena_start"
"Cake_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_jingle_cake_arena_start"
"Spooky_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_spooky_arena_start"
"Bone_pit_arena_start","soundbanks/music_jingle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_bone_pit_arena_start"
"Dark_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_dark_arena_start"
"Barbarian_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_barbarian_arena_start"
"Builder_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_builder_arena_start"
"Spell_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_spell_arena_start"
"Ice_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_ice_arena_start"
"Legendary_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_legendary_arena_start"
"Jungle_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_jungle_arena_start"
"Hog_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_hog_arena_start"
"Electric_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_electric_arena_start"
"Boat_arena_start","soundbanks/music_jingle_general.bank","event:/Main/Music/Jingle/music_jingle_general/music_jingle_general_boat_arena_start"
"inferno_loop","soundbanks/card_rare_inferno_tower.bank","event:/Main/Card/Rare/card_rare_inferno_tower/card_rare_inferno_tower_loop"
"sound_place_inferno_tower","soundbanks/card_rare_inferno_tower.bank","event:/Main/Card/Rare/card_rare_inferno_tower/card_rare_inferno_tower_place"
"sound_tower_take_damage","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_take_damage"
"sound_tower_take_damage_enemy","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_take_damage_enemy"
"sound_enemy_die_jingle","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_enemy_die_jingle"
"sound_own_die_jingle","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_own_die_jingle"
"sound_rage_effect","soundbanks/card_epic_rage.bank","event:/Main/Card/Epic/card_epic_rage/card_epic_rage_effect"
"sound_valkyrie_deploy","soundbanks/card_rare_valkyrie.bank","event:/Main/Card/Rare/card_rare_valkyrie/card_rare_valkyrie_deploy"
"sound_valkyrie_deploy_end","soundbanks/card_rare_valkyrie.bank","event:/Main/Card/Rare/card_rare_valkyrie/card_rare_valkyrie_deploy_end"
"sound_valkyrie_steps","soundbanks/card_rare_valkyrie.bank","event:/Main/Card/Rare/card_rare_valkyrie/card_rare_valkyrie_steps"
"sound_valkyrie_attack_start","soundbanks/card_rare_valkyrie.bank","event:/Main/Card/Rare/card_rare_valkyrie/card_rare_valkyrie_attack_start"
"sound_valkyrie_hit","soundbanks/card_rare_valkyrie.bank","event:/Main/Card/Rare/card_rare_valkyrie/card_rare_valkyrie_hit"
"sound_valkyrie_die","soundbanks/card_rare_valkyrie.bank","event:/Main/Card/Rare/card_rare_valkyrie/card_rare_valkyrie_die"
"sound_summon_own_big","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_summon_own_big"
"sound_summon_enemy_big","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_summon_enemy_big"
"sound_summon_enemy_big_die","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_summon_enemy_big_die"
"sound_summon_own_big_die","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_summon_own_big_die"
"sound_bomber_deploy","soundbanks/card_common_bomber.bank","event:/Main/Card/Common/card_common_bomber/card_common_bomber_deploy"
"sound_bomber_deploy_end","soundbanks/card_common_bomber.bank","event:/Main/Card/Common/card_common_bomber/card_common_bomber_deploy_end"
"sound_bomber_steps","soundbanks/card_common_bomber.bank","event:/Main/Card/Common/card_common_bomber/card_common_bomber_steps"
"sound_bomber_attack","soundbanks/card_common_bomber.bank","event:/Main/Card/Common/card_common_bomber/card_common_bomber_attack"
"sound_bomber_attack_start","soundbanks/card_common_bomber.bank","event:/Main/Card/Common/card_common_bomber/card_common_bomber_attack_start"
"sound_bomber_die","soundbanks/card_common_bomber.bank","event:/Main/Card/Common/card_common_bomber/card_common_bomber_die"
"sound_BombTower_projectile_hit","soundbanks/card_rare_bombtower.bank","event:/Main/Card/Rare/card_rare_bombtower/card_rare_bombtower_projectile_hit"
"sound_goblin_barrel_explosion","soundbanks/card_epic_goblin_barrel.bank","event:/Main/Card/Epic/card_epic_goblin_barrel/card_epic_goblin_barrel_explosion"
"sound_goblin_barrel_spawn","soundbanks/card_epic_goblin_barrel.bank","event:/Main/Card/Epic/card_epic_goblin_barrel/card_epic_goblin_barrel_spawn"
"sound_rocket_explosion","soundbanks/card_rare_rocket.bank","event:/Main/Card/Rare/card_rare_rocket/card_rare_rocket_explosion"
"sound_rocket_spawn","soundbanks/card_rare_rocket.bank","event:/Main/Card/Rare/card_rare_rocket/card_rare_rocket_spawn"
"sound_dragon_attack_start","soundbanks/card_epic_babydragon.bank","event:/Main/Card/Epic/card_epic_babydragon/card_epic_babydragon_attack_start"
"chat_donate","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_chat_donate"
"chat_new_msg","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_chat_new_msg"
"sound_openChest_wood","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_wood"
"sound_openChest_iron","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_iron"
"sound_openChest_gold","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_gold"
"sound_openChest_magical","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_magical"
"sound_openChest_star","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_star"
"sound_openChest_bigmagical","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_bigmagical"
"sound_openChest_giant","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_giant"
"sound_openChest_champion","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_champion"
"sound_openChest_lightning","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_lightning"
"sound_openChest_fortune","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_fortune"
"sound_openChest_fortune_boost","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_fortune_boost"
"sound_openChest_kings","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_kings"
"sound_openChest_legend_kings","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_legend_kings"
"sound_openChest_ranked","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_ranked"
"sound_openChest_unranked","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_unranked"
"sound_openChest_win","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_win"
"sound_openChest_lose","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_openchest_lose"
