"Name","TID","SubtitleTID","Arena","League","LeagueArenaSWF","LeagueArenaExportName","ChestArena","TvArena","IsInUse","TrainingCamp","PVEArena","LoseTrophyPercentage","LoseTrophyScore","WinTrophyPercentage","WinTrophyScore","TrophyLimit","DemoteTrophyLimit","ChestRewardMultiplier","ShopChestRewardMultiplier","RequestSize","MaxDonationCountCommon","MaxDonationCountRare","MaxDonationCountEpic","IconSWF","IconExportName","SmallIconExportName","MatchmakingMinTrophyDelta","MatchmakingMaxTrophyDelta","MatchmakingMaxSeconds","PvpLocation","TeamVsTeamLocation","ThreeVsThreeLocation","DailyDonationCapacityLimit","BattleRewardGold","ReleaseDate","DisableIn2v2","ReachedBoost","BoostTimeH","BgGlow","Glow","Water","WaterParamMapPostfix","BackgroundSWF","BackgroundExportName","BackgroundOverlayExportName","FixedTowerSkinSet","MinScale","LeagueBadgeOffsetY","ChestWildcardsEnabled","ChestWildcardPercent100Common","ChestWildcardPercent100Rare","ChestWildcardPercent100Epic","ChestWildcardPercent100Legendary","ChestWildcardPercent100Champion","RequiredKingLevel","TrophyRoad","CardMaxLevel"
"ArenaTvE","TID_ARENA_TRAINING_CAMP","TID_INFO_ARENA_TRAINING_CAMP",0,,,,"TrainingCamp","TrainingCamp","FALSE","TRUE","TRUE",,,,,0,0,100,100,10,1,1,1,"sc/ui_arena.sc","arena_00",,0,100,60,"TvE_training","TeamVsTeam_champion",,360,0,,,,,"TRUE",,,,,,,,75,-40,,,,,,,,,
"Arena_TouchdownTest","TID_ARENA_TOUCHDOWN","TID_INFO_ARENA_TOUCHDOWN",0,,,,"Arena1","Arena1","FALSE",,,,,,,0,0,100,100,30,1,1,1,"sc/ui_arena.sc","arena_07",,40,100,60,"PvP_touchdown","TeamVsTeam_touchdown",,270,0,,,,,"TRUE",,,,,,,,90,-40,,,,,,,,,
"Arena_Electric","TID_ARENA_ELECTRIC","TID_INFO_ARENA_ELECTRIC",11,,,,"Arena_Electric","Arena_Electric","TRUE",,,100,3400,,,3400,3400,410,100,40,8,1,1,"sc/ui_arena.sc","arena_electric",,40,100,60,"PvP_electric","TeamVsTeam_electric",,360,0,,,,,"TRUE","TRUE",,,,,,,85,-40,"TRUE",500,500,500,500,,16,"Default",
,,,,,,,,,,,,100,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_KingOfTheHillTest","TID_ARENA_KING_OF_THE_HILL","TID_INFO_ARENA_KING_OF_THE_HILL",0,,,,"Arena1","Arena1","FALSE",,,,,,,0,0,100,100,10,1,1,1,"sc/ui_arena.sc","arena_00",,0,100,60,"PvP_koth","TeamVsTeam_koth",,,,,,,,"TRUE",,,,,,,,90,-40,,,,,,,,,
"Arena_KingOfTheHillTest2","TID_ARENA_KING_OF_THE_HILL","TID_INFO_ARENA_KING_OF_THE_HILL",0,,,,"Arena1","Arena1","FALSE",,,,,,,0,0,100,100,10,1,1,1,"sc/ui_arena.sc","arena_00",,0,100,60,"PvP_koth",,,,,,,,,"TRUE",,,,,,,,90,-40,,,,,,,,,
"ArenaClanWars1","TID_ARENA_CLAN_WAR","TID_INFO_ARENA_CLAN_WAR",10,,,,"Arena_L","Arena_L","FALSE",,,,,,,3000,3000,380,100,40,8,1,1,"sc/ui_arena.sc","arena_00",,40,200,60,"PvP_clan_t1",,,360,0,,,,,"TRUE",,,,,,,,90,-40,"TRUE",500,500,500,500,,,,
"ArenaClanWars2","TID_ARENA_CLAN_WAR","TID_INFO_ARENA_CLAN_WAR",10,,,,"Arena_L","Arena_L","FALSE",,,,,,,3000,3000,380,100,40,8,1,1,"sc/ui_arena.sc","arena_00",,40,200,60,"PvP_clan_t2",,,360,0,,,,,"TRUE",,,,,,,,90,-40,"TRUE",500,500,500,500,,,,
"ArenaClanWars3","TID_ARENA_CLAN_WAR","TID_INFO_ARENA_CLAN_WAR",10,,,,"Arena_L","Arena_L","FALSE",,,,,,,3000,3000,380,100,40,8,1,1,"sc/ui_arena.sc","arena_00",,40,200,60,"PvP_clan_t3",,,360,0,,,,,"TRUE",,,,,,,,90,-40,"TRUE",500,500,500,500,,,,
"ArenaClanWars4","TID_ARENA_CLAN_WAR","TID_INFO_ARENA_CLAN_WAR",10,,,,"Arena_L","Arena_L","FALSE",,,,,,,3000,3000,380,100,40,8,1,1,"sc/ui_arena.sc","arena_00",,40,200,60,"PvP_clanwar",,,360,0,,,,,"TRUE",,,,,,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_L10","TID_ARENA24","TID_INFO_ARENA24",24,,,,"Arena_L10","Arena_L10","TRUE",,,100,9500,,,9500,9500,620,100,40,8,1,1,"sc/ui_arena.sc","arena_champion",,40,200,60,"PvP_champion","TeamVsTeam_champion",,360,0,,"TRUE",,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,24,"Default",
,,,,,,,,,,,,100,9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_Obstacles","TID_ARENA_TOUCHDOWN","TID_INFO_ARENA_TOUCHDOWN",0,,,,"Arena1","Arena1","FALSE",,,,,,,0,0,100,100,30,1,1,1,"sc/ui_arena.sc","arena_07",,40,100,60,"Obstacles_Bushes",,,270,0,,,,,"TRUE",,,,,,,,90,-40,,,,,,,,,
"Arena_Boat","TID_INFO_ARENA_BOAT","TID_INFO_ARENA_BOAT",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_boat",,40,200,60,"PvP_boat","TeamVsTeam_boat",,360,0,,,,,"TRUE",,"TRUE","_flood","sc/flood_water2.sc","UI_menu_background_flood","UI_menu_background_rocks",,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Flood","TID_INFO_FLOOD_BOAT","TID_INFO_FLOOD_BOAT",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_00",,40,200,60,"PvP_flood","PvP_flood",,360,0,,,,,"TRUE",,,,,,,"Flood",90,-40,"TRUE",500,500,500,500,,,,
"Arena_Shipwreck","TID_INFO_ARENA_SHIPWRECK","TID_INFO_ARENA_SHIPWRECK",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/level_shipwreck_arena.sc","arena_boat_2",,40,200,60,"PvP_boat_2","TeamVsTeam_boat_2",,360,0,,,,,"TRUE",,"TRUE","_s2","sc/flood_water.sc","UI_menu_background_flood","UI_menu_background_rocks_s2",,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Legendary","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_champion",,40,200,60,"PvP_champion","TeamVsTeam_champion",,360,0,,,,,"TRUE","TRUE",,,,,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Halloween","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_halloween",,40,200,60,"PvP_halloween",,,360,0,,,,,"TRUE",,,,"sc/flood_water.sc","UI_menu_background_halloween","UI_menu_background_halloween_mist",,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Goblin_Party","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_goblin_party.sc","arena_goblin_party",,40,200,60,"PvP_goblin_party","TeamVsTeam_goblin_party",,360,0,,,,,"TRUE",,,,"sc/flood_water.sc","UI_menu_background_goblin_party",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Holiday","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_holiday_season",,40,200,60,"PvP_holiday_arena","TeamVsTeam_holiday_arena",,360,0,,,,,"FALSE",,,,"sc/flood_water.sc","UI_menu_background_holiday","UI_menu_background_holiday_snow",,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Lunar","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_lunar_season",,40,200,60,"PvP_lunar_arena","TeamVsTeam_lunar_arena",,360,0,,,,,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_lunar",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Cake","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_season_9.sc","arena_cake_season",,40,200,60,"PvP_cake_arena","TeamVsTeam_cake_arena",,360,0,,,,,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_birthday",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Heist","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_season_10.sc","arena_heist_season",,40,200,60,"PvP_heist_arena","TeamVsTeam_heist_arena",,360,0,,,,,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_goblin_party",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Dragon","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_season_11.sc","arena_dragon_season",,40,200,60,"PvP_dragon_arena","TeamVsTeam_dragon_arena",,360,0,,,,,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_dragon",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Dream","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_season_12.sc","arena_dream_season",,40,200,60,"PvP_dream_arena","TeamVsTeam_dream_arena",,360,0,,,,,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_dream",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Shipwreck_2","TID_INFO_ARENA_SHIPWRECK","TID_INFO_ARENA_SHIPWRECK",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_season_13.sc","arena_shipwreck_2",,40,200,60,"PvP_shipwreck_2","TeamVsTeam_shipwreck_2",,360,0,,,,,"TRUE",,"TRUE","_s2","sc/flood_water2.sc","UI_menu_background_flood","UI_menu_background_rocks_s2",,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Clanboat","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_00",,40,200,60,"PvP_clanboat_arena","TeamVsTeam_dragon_arena",,360,0,,,,,"FALSE","FALSE",,,,,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Giant","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_00",,40,200,60,"PvP_giant_arena","TeamVsTeam_dragon_arena",,360,0,,,,,"FALSE","FALSE",,,,,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Electric2","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_electric2_season",,40,200,60,"PvP_electric2","TeamVsTeam_electric2",,360,0,,,,,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_shocktober",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Tomb","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_season_17.sc","arena_tomb_season",,40,200,60,"PvP_tomb_arena","TeamVsTeam_tomb_arena",,360,0,,,,,"FALSE","FALSE",,,,,,,90,-40,"TRUE",500,500,500,500,,,,
"Arena_Holiday_2","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_season_18.sc","arena_holiday2_season",,40,200,60,"PvP_holiday_arena_2","TeamVsTeam_holiday_arena_2",,360,0,,,,,"FALSE",,,,"sc/flood_water.sc","UI_menu_background_holiday","UI_menu_background_holiday_snow",,90,-40,"TRUE",500,500,500,500,,,,
"Arena8_Season","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_08",,40,200,60,"PvP_ice","TeamVsTeam_ice",,360,0,,,,,"TRUE",,,,"sc/flood_water.sc","UI_menu_background_holiday","UI_menu_background_holiday_snow",,75,-40,"TRUE",500,500,500,500,,,,
"Arena_Forbidden","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena_icon_season_20.sc","arena_forbidden_season",,40,200,60,"PvP_forbidden_arena","TeamVsTeam_forbidden_arena",,360,0,,,,,"FALSE","FALSE",,,"sc/flood_water.sc","UI_menu_background_lunar",,,90,-40,"TRUE",500,500,500,500,,,,
"Arena4_Season","TID_INFO_ARENA_LEGENDARY","TID_INFO_ARENA_LEGENDARY",0,1,"sc/ui_arena.sc","arena_champion","Arena_L1","Arena_L1","FALSE",,,100,8000,,,8000,8000,530,100,40,8,1,1,"sc/ui_arena.sc","arena_04",,40,200,60,"PvP_dark","TeamVsTeam_dark",,360,0,,,,,"TRUE",,,,"sc/flood_water.sc","UI_menu_background_pekka",,,75,20,"TRUE",500,500,500,500,,,,
