"Name","IconSWF","IconFile","HighresPlaceholderAsset","HighresImageFilename","UnlockArena","UnlockLevel","Rarity","NotVisible","Tribe","ManaCost","PrestigeCount","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","IsAGroup","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","SummonWidth","SummonDeployDelay","SummonDeployDelaySecond","CharacterSkin","CharacterSkin2","Radius","Height","Projectile","ProjectileInterval","ProjectileAngle","ProjectileWaves","ProjectileWaveInterval","SpellAsDeploy","CanPlaceOnBuildings","CanPlaceOnWater","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","TouchdownLimitedDeploy","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorFileName","IndicatorEffect","IndicatorPrestigeSWF","IndicatorPrestigeExportName","IndicatorPrestigeExportName2","IndicatorPrestigeExportName3","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo","HeroAbility","PassiveAbility","HPModifier","DamageModifier","DeployWTileMargin","FullLaneDeploy","AbilityCooldown","DeployStartY","DeployEndY","PveDefenseType","TypeOfSpell","EvolvedSpells","DarkElixirCost","TargetIndicatorType","EvoShardImageScale","EvoShardImageXOffset","EvoShardImageYOffset"
"Skeletons_EV1",,"skeletons_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/skeleton_evolution_dl.png","Arena2",,"Common",,,1,3,,,,,"TRUE","Skeleton_EV1",3,,,,700,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_SKELETONS","TID_SPELL_INFO_EVO_SKELETONS",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2,,1,,
"Valkyrie_EV1",,"valkyrie_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/valkyrie_evolution_dl.png","Arena2",,"Rare",,,4,2,,,,,,"Valkyrie_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_VALKYRIE","TID_SPELL_INFO_EVO_VALKYRIE",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2,,1,,
"SkeletonArmy_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Bomber_EV1",,"bomber_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/bomber_evolution_dl.png","Arena2",,"Common",,,2,2,,,,,,"Bomber_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_BOMBER","TID_SPELL_INFO_EVO_BOMBER",,,,,,,,,,,,,,,,,,,,,,"Range",,,2,,1,,
"Musketeer_EV1",,"musketeer_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/musketeer_evolution_dl.png","TrainingCamp",,"Rare",,,4,2,,,,,,"Musketeer_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_MUSKETEER","TID_SPELL_INFO_EVO_MUSKETEER","sc/effects.sc","log_deploy_indicator",,,,,,,,,,,,,,,,,,,,"Range",,,2,"Musketeer",1,,
"BabyDragon_EV1","sc/ui_card_baby_dragon_evolution.sc","baby_dragon_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/baby_dragon_evolution_dl.png","Arena_L10",,"Epic",,,4,2,,,,,,"BabyDragon_EV1",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_BABY_DRAGON","TID_SPELL_INFO_EVO_BABY_DRAGON",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Prince_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Wizard_EV1",,"wizard_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/wizard_evolution_dl.png","Arena_L10",,"Rare",,,5,2,,,,,,"Wizard_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_WIZARD","TID_SPELL_INFO_EVO_WIZARD",,,,,,,,,,,,,,,,,,,,,,"Range",,,1,,1,,
"MiniPekka_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"SpearGoblins_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,2,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"GiantSkeleton_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,6,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"HogRider_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"MinionHorde_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"IceWizard_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"RoyalGiant_EV1",,"royalgiant_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/royal_giant_evolution_dl.png","Arena7",,"Common",,,6,2,,,,,,"RoyalGiant_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_ROYAL_GIANT","TID_SPELL_INFO_EVO_ROYAL_GIANT",,,,,,,,,,,,,,,,,,,,,,"Attacker",,,1,,1,,
"SkeletonWarriors_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Princess_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"DarkPrince_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"ThreeMusketeers_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,9,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"LavaHound_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,7,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"IceSpirits_EV1",,"icespirit_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/icespirit_evolution_dl.png","Arena8",,"Common",,,1,1,,,,,,"IceSpirits_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_ICE_SPIRITS","TID_SPELL_INFO_EVO_ICE_SPIRITS",,,,,,,,,,,,,,,,,,,,,,"Range",,,2,,1,,
"FireSpirits_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,1,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Miner_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"ZapMachine_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,6,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Bowler_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"RageBarbarian_EV1",,"lumberjack_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/lumberjack_evolution_dl.png","Arena14",,"Legendary",,,4,1,,,,,,"RageBarbarian_EV1",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_RAGE_BARBARIAN","TID_SPELL_INFO_EVO_RAGE_BARBARIAN",,,,,,,,,,,,,,,,,,,,,,"Attacker",,,2,,1,,
"BattleRam_EV1",,"battle_ram_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/battle_ram_evolution_dl.png","Arena_L10",,"Rare",,,4,2,,,,,,"BattleRam_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_BATTLE_RAM","TID_SPELL_INFO_EVO_BATTLE_RAM",,,,,,,,,,,,,,,,,,,,,,"Attacker",,,2,,1,,
"InfernoDragon_EV1","sc/ui_card_inferno_dragon_evolution.sc","inferno_dragon_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_legendary_empty","image/chr_evolution/inferno_dragon_evolution_dl.png","Arena_Electric",,"Legendary",,,4,3,,,,,,"InfernoDragon_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_INFERNO_DRAGON","TID_SPELL_INFO_EVO_INFERNO_DRAGON",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2,,1,,
"IceGolemite_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,2,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"MegaMinion_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"BlowdartGoblin_EV1",,"dartgoblin_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/dart_goblin_evolution_dl.png","Arena9",,"Rare",,,3,2,,,,,,"BlowdartGoblin_EV1",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_BLOWDART_GOBLIN","TID_SPELL_INFO_EVO_BLOWDART_GOBLIN",,,,,,,,,,,,,,,,,,,,,,"Range",,,2,,1,,
"GoblinGang_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"ElectroWizard_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"AngryBarbarians_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,6,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Hunter_EV1","sc/ui_card_hunter_evolution.sc","hunter_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/hunter_evolution.png","Arena_L",,"Epic",,,4,3,,,,,,"Hunter_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_HUNTER","TID_SPELL_INFO_EVO_HUNTER",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2,,1,,
"AxeMan_EV1","sc/ui_card_executioner_evolution.sc","executioner_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/executioner_evolution.png","Arena14",,"Epic","TRUE",,5,2,,,,,,"AxeMan_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_AXEMAN","TID_SPELL_INFO_EVO_AXEMAN",,,,,,,,,,,,,,,,,,,,,,"Range",,,1,,1,,
"Assassin_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"RoyalRecruits_EV1",,"royal_recruit_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/royal_recruit_evolution_dl.png","Arena7",,"Common",,,7,2,,,,,,"Recruit_EV1",6,,,,500,14000,100,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_GUARD_BATTALION","TID_SPELL_INFO_EVO_ROYAL_RECRUITS",,,,,,,,,,,,,,,,,6,"TRUE",,,,"Defender",,,1,,1,,
"DarkWitch_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Bats_EV1",,"bats_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_common_narrow","image/chr_evolution/bats_evolution_dl.png","Arena5",,"Common",,,2,2,,,,,,"Bat_EV1",5,,,,750,,100,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_BATS","TID_SPELL_INFO_EVO_BATS",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2,,1,,
"Ghost_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"RamRider_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"MiniSparkys_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,4,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Rascals_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"MovingCannon_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"MegaKnight_EV1",,"Megaknight_Evo_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/megaknight_evolution_dl.png","Arena_Electric",,"Legendary",,,7,2,,,,,,"MegaKnight_EV1",1,,,,,,,,,,,,"MegaKnight_EV1_appear",,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_MEGAKNIGHT","TID_SPELL_INFO_EVO_MEGAKNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
