"Name","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"TID_REWARDS","Rewards","Récompenses","Belohnungen","Recompensas","Ricompense","Beloningen","Belønninger","Ödüller","報酬","보상","Награды","جوائز","Recompensas","奖励","獎勵","جوایز","Hadiah","Ganjaran","รางวัล","Palkinnot","Phần thưởng"
"TID_SPELL_ATTRIBUTE_BUILDING_DPS","Building Damage/Sec","DPS aux bâtiments","Gebäudeschaden/s","Daño/s a estructuras","Danni a edifici/sec","Gebouwschade/sec.","Bygningsskade/sek","Bina Hasarı/Sn","建物への毎秒ダメージ","초당 건물 피해량","Урон по зданию/с.","ضرر المباني/الثانية","Dano/seg a construções","对建筑每秒伤害","對建築每秒傷害","آسیب ساختمان/ثانیه","Kerusakan Bangunan/Dtk","Kerosakan bangunan/saat","ความเสียหายต่อสิ่งก่อสร้าง/วิ.","Rakennustuho/s","Sát thương công trình/giây"
"TID_SPELL_ATTRIBUTE_COUNT_VALUE","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>","<COUNT>"
"TID_SPELL_ATTRIBUTE_DAMAGE_ON_HIT","Damage on Hit","Dégâts par coup","Schaden bei Treffer","Daño por ataque","Danni per attacco","Schade bij treffer","Treffskade","Vuruş Hasarı","命中ダメージ","적중 시 피해","Урон при ударе","الضرر عند الإصابة","Dano por golpe","每次攻击伤害","每次攻擊傷害","آسیب هر ضربه","Kerusakan Serangan","Kerosakan apabila Mengenai","ความเสียหายต่อครั้ง","Osuman tuhovoima","Sát thương khi đánh trúng"
"TID_SPELL_ATTRIBUTE_DAMAGE_PER_SECOND","Damage/Sec","Dégâts par s","Schaden/s","Daño/s","Danni/sec","Schade/sec.","Skade/sek","Hasar/Sn","毎秒ダメージ","초당 피해량","Урон/с.","الضرر/الثانية","Dano/seg","每秒伤害","每秒傷害","آسیب/ثانیه","Kerusakan/Dtk","Kerosakan/saat","ความเสียหาย/วิ.","Tuho/sekunti","Sát thương/giây"
"TID_SPELL_ATTRIBUTE_DPS","Damage/Sec","Dégâts par s","Schaden/s","Daño/s","Danni/sec","Schade/sec.","Skade/sek","Hasar/Sn","毎秒ダメージ","초당 피해량","Урон/с.","الضرر/الثانية","Dano/seg","每秒伤害","每秒傷害","آسیب/ثانیه","Kerusakan/Dtk","Kerosakan/saat","ความเสียหาย/วิ.","Tuho/sekunti","Sát thương/giây"
"TID_SPELL_ATTRIBUTE_HEAL_PER_SECOND","Healing","Soins","Heilung","Curación","Cure","Genezing","Helbredelse","İyileştirme","回復量","치유랑","Исцеление","الشفاء","Cura","治疗","治療","شفا","Penyembuhan","Penyembuhan","เยียวยา","Parannus","Hồi máu"
"TID_SPELL_ATTRIBUTE_PER_SECOND_VALUE","<VALUE>/Sec","<VALUE> par s","<VALUE>/s","<VALUE>/s","<VALUE>/sec","<VALUE>/sec.","<VALUE>/sek","<VALUE>/Sn","<VALUE>/秒","<VALUE>/초","<VALUE>/с.","<VALUE>/ث","<VALUE>/seg","<VALUE>/秒","<VALUE>/秒","<VALUE>/ثانیه","<VALUE>/Dtk","<VALUE>/saat","<VALUE>/วิ.","<VALUE>/s","<VALUE>/giây"
"TID_SPELL_ATTRIBUTE_SLOWDOWN_TROOPS","Slow down Enemies","Ralentissement des ennemis","Gegnerverlangsamung","Ralentización de enemigos","Rallentamento nemici","Vertraging vijanden","Sink fiender","Düşman Yavaşlatma","敵をスローダウン","유닛 감속","Замедление врагов","إبطاء الأعداء","Desaceleração de inimigos","减速敌军","減速敵軍","کاهش سرعت دشمنان","Melambatkan Lawan","Memperlahankan musuh","ทำให้ศัตรูช้าลง","Vihollisten hidastus","Làm chậm kẻ địch"
"TID_SPELL_ATTRIBUTE_SPAWN_AREA_EFFECT_DPS","<AREA_EFFECT> Damage/Sec","<AREA_EFFECT> (DPS)","Schaden/s (<AREA_EFFECT>)","<AREA_EFFECT> daño/s","Danni/sec di <AREA_EFFECT>","<AREA_EFFECT>: schade/sec.","Skade/sek for <AREA_EFFECT>","<AREA_EFFECT> Hasar/Sn","<AREA_EFFECT>毎秒ダメージ","<AREA_EFFECT> 초당 피해량","<AREA_EFFECT> урон/с.","<AREA_EFFECT> ضرر/الثانية","Dano/seg (<AREA_EFFECT>)","<AREA_EFFECT>每秒伤害","<AREA_EFFECT>每秒傷害","آسیب/ثانیه <AREA_EFFECT>","<AREA_EFFECT> Kerusakan/Dtk","<AREA_EFFECT> kerosakan/saat","ความเสียหาย<AREA_EFFECT>/วิ.","<AREA_EFFECT> (tuho/s)","Sát thương/giây (<AREA_EFFECT>)"
"TID_SPELL_ATTRIBUTE_SPAWN_AREA_EFFECT_TOWER_DPS","<CHARACTER> Crown Tower Damage/Sec","<CHARACTER> (DPS aux tours)","Kronenturm-Schaden/s (<CHARACTER>)","<CHARACTER> daño/s a torres de coronas","Danni/sec torri della corona di <CHARACTER>","<CHARACTER>: schade kroontoren/sec.","Kronetårnskade/sek for <CHARACTER>","<CHARACTER> Taç Kulesi Hasarı/Sn","<CHARACTER>タワーへの毎秒ダメージ","<CHARACTER> 크라운 타워 초당 피해량","<CHARACTER>: урон по королевской башне/с.","<CHARACTER> ضرر برج التاج/الثانية","Dano à torre/seg (<CHARACTER>)","<CHARACTER>对皇家塔每秒伤害","<CHARACTER>對皇家塔每秒傷害","آسیب برج تاج/ثانیه <CHARACTER>","Kerusakan Benteng Mahkota/Dtk <CHARACTER>","Kerosakan Mahkota <CHARACTER>/saat","ความเสียหายต่อหอคอยมงกุฎ/วิ. ของ <CHARACTER>","<CHARACTER> (kruunutornin tuho/s)","Sát thương Tháp Vương miện/giây của <CHARACTER>"
"TID_SPELL_ATTRIBUTE_SPAWN_CHARACTER_COUNT","<CHARACTER> Count","<CHARACTER> (nb.)","<CHARACTER>-Anzahl","<CHARACTER>:","<CHARACTER> (quantità)","<CHARACTER>: aantal","Antall <CHARACTER>","<CHARACTER> Sayısı","<CHARACTER>の数","<CHARACTER> 수","<CHARACTER>: число","العدد - <CHARACTER>:","Quantidade (<CHARACTER>)","<CHARACTER>数量","<CHARACTER>數量","تعداد <CHARACTER>","Jumlah <CHARACTER>","Bilangan <CHARACTER>","จำนวน <CHARACTER>","<CHARACTER> (määrä)","Số lượng <CHARACTER>"
"TID_SPELL_ATTRIBUTE_SPAWN_CHARACTER_LEVEL","<CHARACTER> Level","<CHARACTER> (niv.)","<CHARACTER>-Level","Nivel de <CHARACTER>","Livello <CHARACTER>","<CHARACTER>: level","Nivå på <CHARACTER>","<CHARACTER> Seviyesi","<CHARACTER>レベル","<CHARACTER> 레벨","<CHARACTER> уровня","مستوى - <CHARACTER>:","Nível (<CHARACTER>)","<CHARACTER>等级","<CHARACTER>等級","سطح <CHARACTER>","Level <CHARACTER>","Tahap <CHARACTER>","เลเวล <CHARACTER>","<CHARACTER> (taso)","Cấp <CHARACTER>"
"TID_SPELL_ATTRIBUTE_TOWER_DPS","Crown Tower Damage/Sec","DPS aux tours couronnées","Kronenturm-Schaden/s","Daño/s a torres de coronas","Danni/sec torri della corona","Schade kroontoren/sec.","Kronetårnskade/sek","Taç Kulesi Hasarı/Sn","タワーへの毎秒ダメージ","크라운 타워 초당 피해량","Урон кор. башне/с.","ضرر برج التاج/الثانية","Dano/seg à torre da coroa","对皇家塔每秒伤害","對皇家塔每秒傷害","آسیب برج تاج/ثانیه","Kerusakan Benteng Mahkota/Dtk","Kerosakan Menara Mahkota/saat","ความเสียหายต่อหอคอยมงกุฎ/วิ.","Kruunutornin tuho/s","Sát thương Tháp Vương miện/giây"
"TID_SPELL_INFO_LIGHTNING","Bolts of lightning damage and stun up to three enemy troops or buildings with the most hitpoints in the area.","La foudre étourdit et inflige des dégâts aux trois bâtiments ou troupes ennemis ayant le plus de points de vie dans la zone.","Blitze fügen bis zu drei gegnerischen Einheiten oder Gebäuden mit den meisten Trefferpunkten im Zielbereich Schaden zu und betäuben sie.","Estos rayos pueden infligir daño y aturdir a las tres unidades o estructuras enemigas con más puntos de vida en el área.","Dei fulmini danneggiano e stordiscono fino a tre truppe o edifici nemici con il maggior numero di punti ferita tra quelli presenti nell'area.","Bliksemschichten beschadigen en verdoven tot drie vijandelijke troepen of gebouwen met het hoogste aantal levenspunten in het gebied.","Lynnedslag skader og svimeslår inntil tre av de fiendtlige troppene eller bygningene med flest treffpoeng i området.","Yıldırım okları, alandaki en yüksek isabet puanına sahip üç düşman birliğine ya da binasına hasar verir ve onları sersemletir.","最大3体までの敵ユニットまたは建物を雷撃してダメージを与え、気絶させます。攻撃対象は範囲内でヒットポイントが高い順に決まります。","범위 내에서 HP가 가장 높은 적이나 건물을 최대 셋까지 번개로 공격하고 마비시킵니다.","Разряды молнии поражают и оглушают до трех вражеских воинов или зданий с наибольшим количеством здоровья в области.","صواعق من البرق تضرب وتصعق حتى ثلاثة من قوات العدو أو مبانيه ذات أعلى نقاط إصابة في المنطقة.","Raios atingem até três tropas ou construções inimigas com o maior número de pontos de vida na área.","雷电法术最多可击中范围内三个当前生命值最高的敌方军队或建筑，使其眩晕并受到伤害。","雷電法術最多可擊中範圍內三個目前生命值最高的敵方軍隊或建築，使其暈眩並受到傷害。","رعد و برق‌ها حداکثر به سه نیرو یا ساختمون دشمن که بیشترین تحمل ضربه رو تو اون ناحیه دارن آسیب می‌زنن و اون‌ها رو گیج می‌کنن.","Sambaran kilat merusak dan memberi efek kejut pada hingga tiga Peleton atau bangunan lawan yang punya nyawa terbanyak di area.","Sambaran petir merosakkan dan memegun sehingga tiga askar atau bangunan musuh dengan nilai nyawa paling banyak di kawasan itu.","สายฟ้าฟาดสร้างความเสียหายและหยุดชะงักกองกำลังหรือสิ่งก่อสร้างศัตรูที่มีพลังชีวิตสูงสุดจำนวนมากที่สุดสามอย่างในบริเวณ","Salamaniskut vahingoittavat ja lamaannuttavat vaikutusalueellaan niitä kolmea vihollisen joukkoa tai rakennusta, joilla on korkeimmat elinvoimapisteet.","Các tia sét gây sát thương và làm choáng tối đa 3 binh lính hoặc công trình địch có lượng máu cao nhất trong khu vực."
"TID_SPELL_INFO_RAGE","Increases troop movement and attack speed. Buildings attack faster and summon troops quicker, too. Chaaaarge!","Accélère le déplacement et la vitesse d'attaque des combattants. Les bâtiments attaquent et invoquent des troupes plus rapidement. Chaaaargez !","Beschleunigt Truppenbewegungen und Angriffsgeschwindigkeit. Gebäude greifen außerdem schneller an und rufen Truppen schneller herbei. Zum Aaaaaangriff!","Acelera el movimiento y el ataque de las unidades. Además, aumenta la velocidad de ataque de las estructuras y de generación de las estructuras de tropas. ¡A la carga!","Aumenta il movimento delle truppe e la velocità di attacco. Inoltre, gli edifici attaccano e generano truppe più rapidamente. Caricaaaa!","Verhoogt de verplaatsings- en aanvalssnelheid van eenheden. Gebouwen vallen sneller aan en roepen ook sneller troepen op. Aanvalluuuuh!","Øker hastigheten på troppenes bevegelser og angrep. Bygninger angriper raskere og kaller inn tropper raskere. Angriiiip!","Birliklerin hareket hızını ve saldırı hızını artırır. Binalar daha hızlı saldırır ve birlikleri daha hızlı mevzilendirir. Hücuuuum!","ユニットの移動速度と攻撃速度を上昇させます。建物であれば攻撃速度が上昇し、召喚ユニットの発生間隔も短くなります。総員突撃ーっ！","유닛의 이동 속도 및 공격 속도가 빨라집니다. 건물의 공격 속도 및 유닛 생성 속도도 빨라집니다. 돌겨어어어억!","Увеличивает скорость передвижения и атаки войск. Строения быстрее атакуют и выпускают воинов. В атаку-у-у!","تزيد تعويذة الغضب حركة القوات وسرعة هجومها؛ حيث تهاجم المباني بشكل أسرع وتستدعي القوات بشكل أسرع كذلك. هجووووم!","Aumenta a velocidade de movimento e de ataque das tropas. Também faz construções atacarem e gerarem tropas mais rápido. Atacaaar!","提高军队的移动速度和攻击速度，还可以让建筑的攻击速度和出兵速度加快。冲锋吧！","提高軍隊的移動速度和攻擊速度，還可以讓建築的攻擊速度和出兵速度加快。衝吧！","حرکت و سرعت حمله نیروها رو افزایش می‌ده. ساختمون‌ها سریع‌تر حمله می‌کنن و سریع‌تر هم نیروها رو فرا می‌خونن. حملللله!","Menambah kecepatan gerakan dan serangan peleton. Mantra ini juga membuat serangan bangunan dan pengerahan peleton menjadi lebih cepat. Ayo serbuuuu!","Meningkatkan pergerakan askar dan kelajuan serangan. Bangunan serang lebih cepat dan juga menyeru askar lebih cepat. Seraaangg!","เพิ่มความเร็วของการเคลื่อนที่และการโจมตีแก่กองกำลัง สิ่งก่อสร้างก็โจมตีและปลุกกองกำลังไวขึ้นเหมือนกัน ชาร์จจจจจ!","Lisää joukkojen liikkumis- ja hyökkäysnopeutta. Myös rakennukset hyökkäävät ja luovat joukkoja nopeammin. Rynnäkköööön!","Tăng tốc độ di chuyển và tốc độ tấn công của binh lính. Công trình cũng tấn công và triệu hồi binh lính nhanh hơn. Xung phongggg!"
"TID_TUTORIAL_TROPHY_ROAD_2","Get 10000 Trophies to unlock the SEASONAL ARENAS with more rewards!","Obtenez 10 000 trophées pour débloquer les ARÈNES SAISONNIÈRES avec plus de récompenses !","Erreiche 10.000 Trophäen, um SAISONALE ARENEN freizuschalten, in denen mehr Belohnungen auf dich warten!","¡Alcanza 10 000 trofeos para desbloquear las arenas de temporada, donde podrás ganar aún más recompensas!","Ottieni 10.000 trofei per sbloccare le ARENE STAGIONALI e vincere ancora più premi!","Verzamel 10.000 trofeeën om de SEIZOENSARENA'S met meer beloningen te ontgrendelen!","Få 10 000 trofeer for å låse opp SESONGARENAER med flere belønninger!","10.000 kupaya ulaştığında daha fazla ödül içeren SEZON ARENALARI açılır!","10000トロフィーに到達すると、豪華報酬が満載の「シーズンアリーナ」がアンロックされるぞ！","트로피 10,000개를 획득해, 더 많은 보상이 가득한 시즌 아레나를 잠금 해제하세요!","Набери 10 000 трофеев, чтобы разблокировать СЕЗОННЫЕ АРЕНЫ, где тебя ждет еще больше наград!","احصل على 10000 كأس لفتح الساحات الموسمية التي تتضمن جوائز أكثر.","Consiga 10.000 troféus para liberar as ARENAS SAZONAIS, nas quais você poderá ganhar ainda mais recompensas!","奖杯数达到10000以解锁赛季竞技场和更多奖励！","獎盃數達到10000以解鎖賽季競技場和更多獎勵！","با گرفتن 10000 جام، می‌تونی میدان‌های نبرد فصلی رو باز کنی و جوایز بیشتری بگیری!","Dapatkan 10.000 Trofi untuk membuka ARENA MUSIMAN dengan lebih banyak hadiah!","Dapatkan 10000 trofi untuk membuka ARENA BERMUSIM dengan lebih ganjaran!","รับถ้วยรางวัล 10,000 ถ้วยเพื่อปลดล็อคสนามประลองประจำฤดูกาลที่มีรางวัลมากกว่าเดิม!","Hanki 10 000 pokaalia avataksesi KAUSITTAISET AREENAT lisäpalkintoineen!","Thu thập 10.000 Cúp để mở khóa các ĐẤU TRƯỜNG THEO MÙA với nhiều phần thưởng hơn!"
"TID_BADGE_NAME_LADDER_TOP_1","Top Ranked Finish","Meilleur classement final","Spitzen-Ranglisten-Platzierung","Top de la temporada de clasificación","Tra i primi 1000 nella modalità Classificata","Topdivisie bereikt","Gode rangerte plasseringer","Yüksek Sıralama","上位入賞","경쟁전 시즌 상위권 마무리","Финиш в топе","أفضل مركز مصنف","Top na temporada ranqueada","天梯名列前茅","天梯賽季名列前茅","قرار گرفتن جزو نفرات برتر","Mencapai 1000 Besar di Mode Peringkat","Tempat Teratas dalam Mod Peringkat","จบในอันดับท็อป","Kärkisijoitus kaudella","Đạt thứ hạng cao trong Mùa giải Xếp hạng"
"TID_BADGE_NAME_LADDER_TOP_2","2 Top Ranked Finishes","Classement final dans le top 2","2 Spitzen-Ranglisten-Platzierungen","2 veces en el top de la temporada de clasificación","Due volte tra i primi 1000 nella modalità Classificata","2x topdivisie bereikt","2 gode rangerte plasseringer","2 Yüksek Sıralama","シーズンで2回の上位入賞","경쟁전 시즌 상위권 마무리 2회","2 финиша в топе рейтингового режима","ترتيب في أفضل مركزين مصنفين","2x no Top 1000 ranqueado","2次名列前茅","2次天梯賽季名列前茅","2 بار قرار گرفتن جزو نفرات برتر","Mencapai 1000 besar di 2 Mode Peringkat","2 tempat teratas dalam Mod Peringkat","จบในอันดับท็อป 2 ครั้ง","2 kautta kärkisijoituksella","2 lần lọt vào top 1.000 trong Mùa giải Xếp hạng"
"TID_BADGE_NAME_LADDER_TOP_3","3 Top Ranked Finishes","Classement final dans le top 3","3 Spitzen-Ranglisten-Platzierungen","3 veces en el top de la temporada de clasificación","Tre volte tra i primi 1000 nella modalità Classificata","3x topdivisie bereikt","3 gode rangerte plasseringer","3 Yüksek Sıralama","シーズンで3回の上位入賞","경쟁전 시즌 상위권 마무리 3회","3 финиша в топе рейтингового режима","ترتيب في أفضل 3 مراكز مصنفة","3x no Top 1000 ranqueado","3次名列前茅","3次天梯賽季名列前茅","3 بار قرار گرفتن جزو نفرات برتر","Mencapai 1000 besar di 3 Mode Peringkat","3 tempat teratas dalam Mod Peringkat","จบในอันดับท็อป 3 ครั้ง","3 kautta kärkisijoituksella","3 lần lọt vào top 1.000 trong Mùa giải Xếp hạng"
"TID_BADGE_NAME_LADDER_TOP_4","4 Top Ranked Finishes","Classement final dans le top 4","4 Spitzen-Ranglisten-Platzierungen","4 veces en el top de la temporada de clasificación","Quattro volte tra i primi 1000 nella modalità Classificata","4x topdivisie bereikt","4 gode rangerte plasseringer","4 Yüksek Sıralama","シーズンで4回の上位入賞","경쟁전 시즌 상위권 마무리 4회","4 финиша в топе рейтингового режима","ترتيب في أفضل 4 مراكز مصنفة","4x no Top 1000 ranqueado","4次名列前茅","4次天梯賽季名列前茅","4 بار قرار گرفتن جزو نفرات برتر","Mencapai 1000 besar di 4 Mode Peringkat","4 tempat teratas dalam Mod Peringkat","จบในอันดับท็อป 4 ครั้ง","4 kautta kärkisijoituksella","4 lần lọt vào top 1.000 trong Mùa giải Xếp hạng"
"TID_BADGE_NAME_LADDER_TOP_5","5 Top Ranked Finishes","Classement final dans le top 5","5 Spitzen-Ranglisten-Platzierungen","5 veces en el top de la temporada de clasificación","Cinque volte tra i primi 1000 nella modalità Classificata","5x topdivisie bereikt","5 gode rangerte plasseringer","5 Yüksek Sıralama","シーズンで5回の上位入賞","경쟁전 시즌 상위권 마무리 5회","5 финишей в топе рейтингового режима","ترتيب في أفضل 5 مراكز مصنفة","5x no Top 1000 ranqueado","5次名列前茅","5次天梯賽季名列前茅","5 بار قرار گرفتن جزو نفرات برتر","Mencapai 1000 besar di 5 Mode Peringkat","5 tempat teratas dalam Mod Peringkat","จบในอันดับท็อป 5 ครั้ง","5 kautta kärkisijoituksella","5 lần lọt vào top 1.000 trong Mùa giải Xếp hạng"
"TID_BADGE_NAME_LADDER_TOP_6","6 Top Ranked Finishes","Classement final dans le top 6","6 Spitzen-Ranglisten-Platzierungen","6 veces en el top de la temporada de clasificación","Sei volte tra i primi 1000 nella modalità Classificata","6x topdivisie bereikt","6 gode rangerte plasseringer","6 Yüksek Sıralama","シーズンで6回の上位入賞","경쟁전 시즌 상위권 마무리 6회","6 финишей в топе рейтингового режима","ترتيب في أفضل 6 مراكز مصنفة","6x no Top 1000 ranqueado","6次名列前茅","6次天梯賽季名列前茅","6 بار قرار گرفتن جزو نفرات برتر","Mencapai 1000 besar di 6 Mode Peringkat","6 tempat teratas dalam Mod Peringkat","จบในอันดับท็อป 6 ครั้ง","6 kautta kärkisijoituksella","6 lần lọt vào top 1.000 trong Mùa giải Xếp hạng"
"TID_BADGE_NAME_LADDER_TOP_7","7 Top Ranked Finishes","Classement final dans le top 7","7 Spitzen-Ranglisten-Platzierungen","7 veces en el top de la temporada de clasificación","Sette volte tra i primi 1000 nella modalità Classificata","7x topdivisie bereikt","7 gode rangerte plasseringer","7 Yüksek Sıralama","シーズンで7回の上位入賞","경쟁전 시즌 상위권 마무리 7회","7 финишей в топе рейтингового режима","ترتيب في أفضل 7 مراكز مصنفة","7x no Top 1000 ranqueado","7次名列前茅","7次天梯賽季名列前茅","7 بار قرار گرفتن جزو نفرات برتر","Mencapai 1000 besar di 7 Mode Peringkat","7 tempat teratas dalam Mod Peringkat","จบในอันดับท็อป 7 ครั้ง","7 kautta kärkisijoituksella","7 lần lọt vào top 1.000 trong Mùa giải Xếp hạng"
"TID_BADGE_NAME_LADDER_TOP_8","8 Top Ranked Finishes","Classement final dans le top 8","8 Spitzen-Ranglisten-Platzierungen","8 veces en el top de la temporada de clasificación","Otto volte tra i primi 1000 nella modalità Classificata","8x topdivisie bereikt","8 gode rangerte plasseringer","8 Yüksek Sıralama","シーズンで8回の上位入賞","경쟁전 시즌 상위권 마무리 8회","8 финишей в топе рейтингового режима","ترتيب في أفضل 8 مراكز مصنفة","8x no Top 1000 ranqueado","8次名列前茅","8次天梯賽季名列前茅","8 بار قرار گرفتن جزو نفرات برتر","Mencapai 1000 besar di 8 Mode Peringkat","8 tempat teratas dalam Mod Peringkat","จบในอันดับท็อป 8 ครั้ง","8 kautta kärkisijoituksella","8 lần lọt vào top 1.000 trong Mùa giải Xếp hạng"
